,movie,sentiment,budget,collection,ratio
0,20th_century_women,0.115242686,7.0,6.0,1.1666666666666667
2,all_eyez_on_me,0.066804817,40.0,45.0,0.8888888888888888
4,all_saints,0.09378221699999999,2.0,5.0,0.4
6,american_made,0.08939638400000001,50.0,52.0,0.9615384615384616
8,a_cure_for_wellness,0.044374697000000005,40.0,26.0,1.5384615384615385
10,battle_of_the_sexes,0.117647385,20.0,13.0,1.5384615384615385
12,baywatch,0.066896543,69.0,177.0,0.3898305084745763
14,beauty_and_the_beast,0.135390804,160.0,504.0,0.31746031746031744
16,birth_of_the_dragon,0.056192962,31.0,7.0,4.428571428571429
20,cars_3,0.10459574199999999,175.0,385.0,0.45454545454545453
22,chips,0.099001069,25.0,27.0,0.9259259259259259
24,coco,0.06880768799999999,200.0,287.0,0.6968641114982579
26,collateral_beauty,0.175111428,40.0,90.0,0.4444444444444444
28,despicable_me_3,0.07233964400000001,80.0,1000.0,0.08
30,dunkirk,0.098216129,100.0,525.0,0.19047619047619047
32,fantastic_beasts_and_where_to_find_them,0.09573435300000001,180.0,810.0,0.2222222222222222
34,fences,0.172925227,24.0,65.0,0.36923076923076925
36,fist_fight,0.105025705,25.0,42.0,0.5952380952380952
38,flatliners,0.057158920999999994,19.0,38.0,0.5
40,geostorm,0.094601301,120.0,200.0,0.6
42,get_out,0.062897908,5.0,250.0,0.02
44,ghost_in_the_shell,0.052871375,110.0,170.0,0.6470588235294118
46,girls_trip,0.128136782,137.0,19.0,7.2105263157894735
48,gold,0.061648531,20.0,12.0,1.6666666666666667
50,guardians_of_the_galaxy_vol_2,0.076060001,200.0,800.0,0.25
52,hidden_figures,0.09584665199999999,25.0,230.0,0.10869565217391304
54,how_to_be_a_latin_lover,0.085540382,10.0,62.0,0.16129032258064516
56,it,0.09041859,35.0,670.0,0.05223880597014925
58,justice_league,0.09481652800000001,300.0,560.0,0.5357142857142857
60,leap!,0.09104569900000001,30.0,106.0,0.2830188679245283
62,let_there_be_light,0.381810135,3.0,7.0,0.42857142857142855
64,life,0.099362585,58.0,100.0,0.58
66,lion,0.049752425999999995,12.0,140.0,0.08571428571428572
68,live_by_night,0.193367822,65.0,22.0,2.9545454545454546
70,logan,0.060342433,97.0,600.0,0.16166666666666665
72,logan_lucky,0.15914450800000002,30.0,45.0,0.6666666666666666
74,loving_vincent,0.354847853,5.0,5.0,1.0
76,manchester-by-the_sea,0.280986729,8.5,77.0,0.11038961038961038
78,marshall,0.06283529,12.0,8.5,1.411764705882353
80,maudie,0.075685209,5.0,9.0,0.5555555555555556
82,moana,0.11893644,150.0,650.0,0.23076923076923078
84,monster_trucks,0.185295193,125.0,64.0,1.953125
86,moonlight,0.061198047,2.0,65.0,0.03076923076923077
88,mother!,0.058829954000000004,30.0,45.0,0.6666666666666666
90,only_the_brave,0.656196779,38.0,30.0,1.2666666666666666
92,passengers,0.08315513299999999,100.0,300.0,0.3333333333333333
94,patriots_day,0.07879557,45.0,50.0,0.9
96,power_rangers,0.061167132,100.0,142.0,0.704225352112676
98,same_kind_of_different_as_me,0.55145997,6.0,6.0,1.0
100,silence,0.058994967999999995,50.0,30.0,1.6666666666666667
102,sing,0.086392719,75.0,600.0,0.125
104,sleepless,0.049365384000000005,30.0,33.0,0.9090909090909091
106,the_beguiled,0.106671226,10.0,28.0,0.35714285714285715
108,the_belko_experiment,0.0556303,5.0,11.0,0.45454545454545453
110,the_boss_baby,0.070124981,125.0,500.0,0.25
112,the_bye_bye_man,0.024299195,7.0,20.0,0.35
114,the_circle,0.058600900000000004,18.0,40.0,0.45
116,the_emoji_movie,-0.132614178,50.0,216.0,0.23148148148148148
118,the_fate_of_the_furious,0.137368864,250.0,1100.0,0.22727272727272727
120,the_founder,0.059733262,25.0,24.0,1.0416666666666667
122,the_great_wall,0.576319578,150.0,334.0,0.4491017964071856
124,the_house,0.069155995,40.0,34.0,1.1764705882352942
126,the_lego_batman_movie,0.14999053199999998,80.0,312.0,0.2564102564102564
128,the_lego_ninjago_movie,0.05013719,70.0,120.0,0.5833333333333334
130,the_lost_city_of_z,0.09882149300000001,30.0,17.0,1.7647058823529411
132,the_promise,0.08690710800000001,90.0,10.0,9.0
134,the_snowman,0.07190964,35.0,39.0,0.8974358974358975
136,the_star,0.09372387300000001,20.0,29.0,0.6896551724137931
138,unforgettable,0.102039332,12.0,18.0,0.6666666666666666
140,victoria_and_abdul,0.14364501300000002,25.0,60.0,0.4166666666666667
142,war_for_the_planet_of_the_apes,0.10641434699999999,150.0,490.0,0.30612244897959184
144,wish_upon,0.122778111,12.0,20.0,0.6
146,wonder,0.054850129000000004,20.0,102.0,0.19607843137254902
148,wonder_woman,0.12172093,149.0,822.0,0.18126520681265207
